links,count
0,120970
1,572410
2,429693
3,314521
8804,1
4,239710
8805,1
5,188551
6,152927
7,127320
8,108312
26280,1
9,93403
10,82032
11,72820
8811,1
12,65787
8813,1
13,59475
14,55027
8815,1
15,50833
17,44745
16,47623
19,40124
18,42069
21,36534
20,38358
23,33897
26295,1
22,35266
8825,1
25,32395
24,33160
27,30216
8826,1
26,31208
29,28502
28,29645
31,26882
8831,2
30,27950
8830,1
34,24366
35,24122
32,25941
33,25273
38,21950
39,21585
36,23218
17637,1
8773,1
37,22551
42,20121
8779,1
43,19464
40,21101
41,20612
46,18351
47,17881
44,19395
45,18890
51,16774
50,16905
8785,1
49,17046
48,17417
55,15131
8791,1
54,15587
53,15752
52,16165
8795,1
59,14334
58,14671
57,14657
56,14839
63,13263
8799,1
62,13152
61,13324
60,13665
8740,1
68,12337
69,12419
70,12112
71,11711
64,13106
65,12908
66,12919
67,12347
76,10478
77,11062
78,10635
79,10274
72,11317
73,11211
74,11068
17547,1
75,10667
85,9353
84,9288
8759,1
87,8977
86,9099
81,9749
80,10291
83,9629
82,9588
93,8590
92,8551
95,7954
94,8256
89,8475
88,9193
8763,1
91,8650
90,8535
102,7426
103,7077
100,7328
101,7069
98,7449
99,7567
8704,1
96,7844
97,7564
110,6622
111,6431
108,6773
109,6523
35305,1
106,6568
107,6867
104,6671
105,6256
119,5722
8726,1
118,5766
26324,1
117,5679
116,5749
115,5860
114,6382
113,6414
112,6505
127,5235
8735,1
126,5473
8734,1
125,5299
8732,1
124,5335
123,5394
122,5675
121,5858
120,5745
137,4525
136,4750
139,4586
175877,1
138,4472
141,4588
8941,1
140,4702
143,4101
142,4652
129,5261
128,5249
131,4865
130,5172
133,4662
132,4807
135,4757
134,4627
152,3681
153,3793
154,3948
155,4006
156,4274
157,3686
158,3670
159,3501
144,4273
145,4278
146,4006
147,4086
148,3731
149,3685
150,3840
151,3934
171,3192
8906,1
170,3574
169,3388
168,3573
175,3139
174,3128
173,3277
172,3079
163,3735
8898,1
162,3963
26112,1
161,3900
160,3470
167,3692
166,3451
165,3915
164,3887
186,2701
187,2697
8920,1
184,3042
8921,1
185,2935
190,2652
8927,1
191,2753
188,2668
189,2909
178,2850
179,2879
176,3125
177,2989
182,3030
183,2846
180,2856
181,3111
8917,1
205,2661
204,2673
207,2752
8878,1
206,2370
8873,1
201,2589
200,2866
8875,1
203,2482
202,2265
197,2416
196,2342
199,2430
198,2403
8865,1
193,2834
192,2859
8867,1
195,2600
194,2852
220,2634
221,2280
222,2317
223,2380
216,2258
217,2784
218,2564
219,2848
8891,1
212,2159
213,2158
214,2185
215,2411
208,2908
209,2671
210,2945
211,2438
239,1940
238,1953
237,1664
236,1771
235,1980
8842,1
234,1994
233,2038
8840,1
232,1943
231,1883
8838,1
230,2040
229,1839
228,1762
8835,1
227,1851
226,1983
225,2290
224,2272
254,1570
17471,1
255,1562
252,1555
253,1436
250,1721
251,1524
248,1835
249,1519
246,2105
247,1908
244,1523
245,1770
242,1703
243,1610
8848,1
240,1861
241,1881
9075,1
275,1247
274,1533
273,1420
272,1464
279,1393
278,1243
277,1682
276,1551
283,1065
282,1113
281,1161
