done with crawl, printing results
Maximum distance found was 67
Articles at distance 0 = 1
Articles at distance 1 = 782
Articles at distance 2 = 69949
Articles at distance 3 = 1254922
Articles at distance 4 = 2779750
Articles at distance 5 = 724243
Articles at distance 6 = 97673
Articles at distance 7 = 13864
Articles at distance 8 = 1269
Articles at distance 9 = 633
Articles at distance 10 = 181
Articles at distance 11 = 251
Articles at distance 12 = 45
Articles at distance 13 = 23
Articles at distance 14 = 19
Articles at distance 15 = 15
Articles at distance 16 = 12
Articles at distance 17 = 10
Articles at distance 18 = 7
Articles at distance 19 = 8
Articles at distance 20 = 9
Articles at distance 21 = 5
Articles at distance 22 = 3
Articles at distance 23 = 3
Articles at distance 24 = 3
Articles at distance 25 = 2
Articles at distance 26 = 2
Articles at distance 27 = 2
Articles at distance 28 = 2
Articles at distance 29 = 3
Articles at distance 30 = 2
Articles at distance 31 = 2
Articles at distance 32 = 2
Articles at distance 33 = 1
Articles at distance 34 = 1
Articles at distance 35 = 1
Articles at distance 36 = 1
Articles at distance 37 = 1
Articles at distance 38 = 1
Articles at distance 39 = 1
Articles at distance 40 = 1
Articles at distance 41 = 1
Articles at distance 42 = 1
Articles at distance 43 = 1
Articles at distance 44 = 1
Articles at distance 45 = 1
Articles at distance 46 = 1
Articles at distance 47 = 1
Articles at distance 48 = 1
Articles at distance 49 = 1
Articles at distance 50 = 1
Articles at distance 51 = 1
Articles at distance 52 = 1
Articles at distance 53 = 1
Articles at distance 54 = 1
Articles at distance 55 = 1
Articles at distance 56 = 1
Articles at distance 57 = 1
Articles at distance 58 = 1
Articles at distance 59 = 1
Articles at distance 60 = 1
Articles at distance 61 = 1
Articles at distance 62 = 1
Articles at distance 63 = 1
Articles at distance 64 = 1
Articles at distance 65 = 1
Articles at distance 66 = 1
Articles at distance 67 = 1
sample of max distance articles
List_of_1946_motorsport_champions
Total number of articles reachable = 4943732
Total number of articles NOT reachable = 132322
